number,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,body_type,mileage,engine,max_power,seats
1,Maruti Swift Dzire VDI,2014,450000,145500,Diesel,Individual,Manual,First Owner,MUV/SUV,23.4,1248,165,5
2,Skoda Rapid 1.5 TDI Ambition,2014,370000,120000,Diesel,Individual,Manual,Second Owner,Wagon,21.14,1498,143,5
3,Honda City 2017-2020 EXi,2006,158000,140000,Petrol,Individual,Manual,Third Owner,Convertible,17.7,1497,162,5
4,Hyundai i20 Sportz Diesel,2010,225000,127000,Diesel,Individual,Manual,First Owner,Wagon,23,1396,175,5
5,Maruti Swift VXI BSIII,2007,130000,120000,Petrol,Individual,Manual,First Owner,Hatchback,16.1,1298,199,5
6,Hyundai Xcent 1.2 VTVT E Plus,2017,440000,45000,Petrol,Individual,Manual,First Owner,MUV/SUV,20.14,1197,110,5
7,Maruti Wagon R LXI DUO BSIII,2007,96000,175000,LPG,Individual,Manual,First Owner,Coupe,17.3,1061,127,5
8,Maruti 800 DX BSII,2001,45000,5000,Petrol,Individual,Manual,Second Owner,MUV/SUV,16.1,796,60,4
9,Toyota Etios VXD,2011,350000,90000,Diesel,Individual,Manual,First Owner,Jeep,23.59,1364,176,5
10,Ford Figo Diesel Celebration Edition,2013,200000,169000,Diesel,Individual,Manual,First Owner,Coupe,20,1399,169,5
11,Renault Duster 110PS Diesel RxL,2014,500000,68000,Diesel,Individual,Manual,Second Owner,Sedan,19.01,1461,148,5
12,Maruti Zen LX,2005,92000,100000,Petrol,Individual,Manual,Second Owner,Sedan,17.3,993,81,5
13,Maruti Swift Dzire VDi,2009,280000,140000,Diesel,Individual,Manual,Second Owner,Jeep,19.3,1248,183,5
14,Maruti Swift 1.3 VXi,2007,200000,80000,Petrol,Individual,Manual,Second Owner,Hatchback,19.41878336,1458,143,7
15,Maruti Wagon R LXI Minor,2009,180000,90000,Petrol,Individual,Manual,Second Owner,Jeep,18.9,1061,118,5
16,Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000,Petrol,Individual,Manual,First Owner,Coupe,18.15,1198,116,5
17,Maruti Ertiga SHVS VDI,2016,778000,70000,Diesel,Individual,Manual,Second Owner,Convertible,24.52,1248,194,7
18,Hyundai i20 1.4 CRDi Asta,2012,500000,53000,Diesel,Individual,Manual,Second Owner,MUV/SUV,23,1396,153,5
19,Maruti Alto LX,2002,150000,80000,Petrol,Individual,Manual,Second Owner,MUV/SUV,19.7,796,55,5
20,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000,Diesel,Individual,Manual,First Owner,MUV/SUV,22.54,1396,176,5
21,Mahindra Verito 1.5 D4 BSIII,2011,174000,100000,Diesel,Individual,Manual,Second Owner,Sedan,21,1461,145,5
22,Honda WR-V i-DTEC VX,2017,950000,50000,Diesel,Individual,Manual,First Owner,Van,25.5,1498,176,5
23,Maruti Swift Dzire ZDI,2015,525000,40000,Diesel,Individual,Manual,First Owner,Coupe,26.59,1248,148,5
24,Maruti SX4 ZDI,2012,600000,72000,Diesel,Individual,Manual,First Owner,MUV/SUV,21.5,1248,143,5
25,Tata Tigor 2017-2020 XZ,2018,500000,35000,Petrol,Individual,Manual,First Owner,Van,20.3,1199,108,5
26,Maruti Baleno Delta 1.2,2016,575000,45000,Petrol,Individual,Manual,First Owner,MUV/SUV,21.4,1197,130,5
27,Maruti Alto 800 LXI,2017,275000,28000,Petrol,Individual,Manual,First Owner,MUV/SUV,24.7,796,54,5
28,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000,Diesel,Individual,Manual,First Owner,Convertible,18.2,1248,155,7
29,Maruti Wagon R LXI Minor,2009,220000,120000,Petrol,Individual,Manual,First Owner,Jeep,18.9,1061,101,5
30,Maruti Omni E MPI STD BS IV,2018,254999,25000,Petrol,Individual,Manual,First Owner,Jeep,16.8,796,53,8
31,Maruti Vitara Brezza LDi Option,2017,670000,70000,Diesel,Individual,Manual,First Owner,Jeep,24.3,1248,130,5
32,Fiat Palio 1.2 ELX,2003,70000,50000,Petrol,Individual,Manual,Second Owner,Wagon,19.41878336,1458,142,7
33,Maruti Omni 8 Seater BSIV,2012,150000,35000,Petrol,Individual,Manual,Second Owner,Hatchback,14,796,59,5
34,Hyundai i20 1.2 Asta Dual Tone,2018,730000,2388,Petrol,Individual,Manual,First Owner,Van,18.6,1197,144,5
35,Maruti Vitara Brezza LDi,2017,650000,16200,Diesel,Individual,Manual,First Owner,Van,24.3,1248,186,5
36,Maruti Alto 800 CNG LXI Optional,2019,330000,10000,CNG,Individual,Manual,Second Owner,Convertible,33.44,796,57,4
37,Maruti Alto K10 VXI Airbag,2019,366000,15000,Petrol,Individual,Manual,First Owner,Jeep,23.95,998,137,5
38,Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000,Petrol,Individual,Manual,First Owner,Hatchback,17,1591,165,5
39,Datsun GO D,2016,150000,42000,Petrol,Individual,Manual,First Owner,MUV/SUV,20.63,1198,146,5
40,Tata Safari DICOR 2.2 LX 4x2,2011,425000,60000,Diesel,Individual,Manual,Second Owner,Jeep,13.93,2179,275,7
41,Maruti 800 Std,2012,150000,76000,Petrol,Individual,Manual,First Owner,Hatchback,16.1,796,59,4
42,Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,5000,Petrol,Individual,Automatic,First Owner,Coupe,16,1368,151,5
43,Honda City i VTEC VX,2018,925000,28900,Petrol,Dealer,Manual,First Owner,MUV/SUV,17.8,1497,141,5
44,Honda City V MT,2013,425000,86300,Petrol,Dealer,Manual,First Owner,Hatchback,16.8,1497,201,5
45,Maruti Swift Dzire VXi AT,2018,675000,23300,Petrol,Dealer,Automatic,First Owner,Wagon,18.5,1197,102,5
46,Maruti Vitara Brezza VDi,2018,819999,32600,Diesel,Dealer,Manual,First Owner,MUV/SUV,24.3,1248,155,5
